name,games played,wins,losses,last_played,os_elo,os_mu,os_sigma,os_rank,ts_elo,ts_mu,ts_sigma
4LEX,12,6,6,2019-03-29 00:00:00,1627.4415399245058,25.765144885295847,7.123933688408212,4.393343820071209,1558.3960652503056,24.79165283958955,5.372809665730508
ASHFALL,3,2,1,2019-03-29 00:00:00,1695.758909118298,26.434465688793942,7.9660762466460024,2.5362369488559366,1715.924288836649,27.017207328244123,6.940149312571853
BROTHERGLACIUS,3,0,3,2019-03-29 00:00:00,1018.6252454514819,19.800433184476343,8.022123709401638,-4.26593794372857,1005.124732525616,16.975050392381615,7.255607575868761
CLONE,4,1,3,2019-03-29 00:00:00,1129.205416835561,20.88381227291575,7.8409018703322095,-2.6388933380808766,1145.7039775742826,18.961150169976353,6.7745511155295945
CRONO,1,1,0,2019-03-27 00:00:00,1716.1650329190416,26.634389124660622,8.224149802130398,1.9619397182694271,1752.7821927997988,27.537934800058885,7.965191771648133
FABULOUSRUG,4,3,1,2019-03-29 00:00:00,1914.5960947159679,28.57846336651488,7.910449798842761,4.8471139699866015,1945.146276999305,30.255649386686468,6.8162627486468415
GORKSTAR,5,1,4,2019-03-29 00:00:00,1000.0,19.61795741882482,7.756783261950917,-3.6523923670279324,1000.0,16.902648309657135,6.512548268420759
GRANTOVICH,2,1,1,2019-03-29 00:00:00,1515.8439946835451,24.671798353797936,8.098138919213627,0.37738159615705413,1745.2290385491424,27.431224040784464,7.877486077053663
HOLOWEEN,12,7,5,2019-03-29 00:00:00,1929.3409856155954,28.7229224161079,7.127231451683007,7.341228061058878,2000.0,31.030621303872454,5.796165117380489
IJUSTDONTCARE,3,1,2,2019-03-29 00:00:00,1446.1807953526697,23.989292146362967,8.0579959118671,-0.18469558923833063,1489.3265329841988,23.815840353010906,7.457462727988994
JAMESUK,3,1,2,2019-03-29 00:00:00,1382.1170951386289,23.36164550527686,8.005379609783756,-0.6544933240744051,1372.3032898726779,22.162539134635846,7.232780304047277
LTUNDERPANTS,4,2,2,2019-03-29 00:00:00,1490.1048148587322,24.419625755159707,7.801086542370098,1.0163661280494125,1504.6384033837858,24.032166044507196,6.5452689533794475
MISTER MAF,3,0,3,2019-03-29 00:00:00,1055.2546490447103,20.159299782151237,7.987401442506689,-3.8029045453688326,1081.015853322223,18.04723809749681,7.203356387168128
OHSLOWPOKE,1,1,0,2019-03-29 00:00:00,1691.3727017055285,26.391493017210287,8.245778227753329,1.6541583339502992,1754.8776134896289,27.567538846976323,8.016667108164663
OTTO VON SAXONY,2,1,1,2019-03-28 00:00:00,1561.8511166971866,25.12254059162409,8.073869404395058,0.9009323784389167,1576.2713787406356,25.04419478584406,7.4780416939338465
PROPER INITIATION,1,1,0,2019-03-29 00:00:00,1759.0177117842838,27.054226565542876,8.175758466139895,2.526951167123194,1812.1993396812104,28.377378646592792,7.73474613912272
ROBIEMAN,1,1,0,2019-03-29 00:00:00,1713.1660395459885,26.605007304519926,8.216389335479866,1.9558392980803312,1735.402659577484,27.292397224041952,7.927874785643286
SDAUZ,4,1,3,2019-03-29 00:00:00,1262.9965005491495,22.19459394833479,7.8309100878310876,-1.298136315158473,1416.6657850964164,22.78929126911283,6.963671696823277
SKAFFA,3,1,2,2019-03-29 00:00:00,1375.4231550062154,23.296063451388257,8.057858450581925,-0.8775119003575185,1372.193901659275,22.160993700911007,7.471972343631373
SNAKE,1,1,0,2019-03-28 00:00:00,1716.837128712751,26.6409738000072,8.22329638028567,1.9710846591501898,1769.8729898291203,27.779393118938753,7.947244732379314
SPILARINN,1,0,1,2019-03-29 00:00:00,1407.3141704586078,23.608506982789713,8.245584275816112,-1.1282458446586219,1391.4087920206748,22.43246115302367,8.016667108164663
STORMTROUT,7,5,2,2019-03-29 00:00:00,1954.680857387234,28.97118290293404,7.6253944195925305,6.094999644156449,1884.6820257348024,29.401412077706127,6.487448621976028
TRAPMAKER,5,2,3,2019-03-29 00:00:00,1366.4983732045603,23.20862533430292,7.7401258434898565,-0.011752196166650464,1467.8913674732175,23.513004913545227,6.420664410762391
ZOSTRUM,3,3,0,2019-03-29 00:00:00,2000.0,29.41518485010178,8.046422704647537,5.2759167361591714,1976.5511042175362,30.699335937513634,7.555693144975783
[DB] NUTZ,4,3,1,2019-03-29 00:00:00,1932.05782560594,28.749539915387693,7.873673373662647,5.128519794399754,1773.9843509483908,27.83747831780127,7.298671114609605
[HBM] RED STORM,4,2,2,2019-03-29 00:00:00,1472.6908464694711,24.24901714636905,7.936708044584207,0.438893012616429,1441.0723227021085,23.134106173288348,7.089184793772807
