name,games played,wins,losses,last_played,os_elo,os_mu,os_sigma,os_rank,ts_elo,ts_mu,ts_sigma
(HBM) MARK,16,8,8,2019-05-17 00:00:00,1313.4898008304424,17.537534058581105,6.676558590264558,-2.492141712212568,1246.4062161054862,15.399032728097579,4.018482308816373
...,4,4,0,2020-02-18 00:00:00,1613.1219536793708,28.299870906765868,7.616399573781568,5.450672185421162,1708.7091904430554,29.86284961055233,6.513353717441449
123,41,17,24,2019-07-07 00:00:00,1386.4672678247186,20.158775052419582,4.898425979199182,5.463497114822037,1510.1451145802475,23.650485442165202,2.5823417243661315
12OCKY,94,55,39,2020-05-06 00:00:00,1740.0961856926378,32.86059459070021,3.150295045833647,23.40970945319927,1750.595904201747,31.17333600420277,1.7194187030044998
4LEX,708,318,390,2023-11-15 00:00:00,1465.0357740561053,22.980837777267467,1.4929484456896807,18.501992440198425,1457.6038362890806,22.006655594298756,1.1037407739208611
ADRIAN,8,3,5,2020-04-22 00:00:00,1472.0809346841447,23.233889364380552,6.726984155346224,3.05293689834188,1507.4282846764902,23.565485491029197,4.8669790974309395
AMAGAND,5,2,3,2019-05-14 00:00:00,1541.0486027873326,25.71110440523283,7.488078739188185,3.2468681876682766,1603.471779432387,26.570345070163008,5.421753307840011
ANTHONY210,4,3,1,2020-03-06 00:00:00,1519.0781915259201,24.921960234821686,7.63387375792757,2.020338961038977,1498.4220852728772,23.28371352283586,6.055154916172914
AREA213,1075,546,529,2023-11-14 00:00:00,1552.661133636036,26.12820906995383,1.4567842168067038,21.757856419533717,1549.6226014167842,24.885595688646664,1.090820668632847
ASHFALL,274,118,156,2020-08-13 00:00:00,1439.5503320406947,22.065438982155445,2.1778835553721,15.531788316039146,1497.0800294136375,23.241725365130662,1.2013131585634376
ATTACKTACOS,212,86,126,2022-11-06 00:00:00,1442.3319020849176,22.165348799904017,2.4263275185211475,14.886366244340575,1470.7929715654082,22.41929675834939,1.3003548293645153
AVNY,2,1,1,2019-05-19 00:00:00,1519.5921098850988,24.94041941031857,8.0540883380064,0.7781543962993709,1540.9428824702566,24.61403813353113,7.310744208853629
AVRO,11,4,7,2020-05-10 00:00:00,1235.0928165738364,14.721632145421495,6.201225883861922,-3.882045506164271,1233.0957341727942,14.982595058477255,4.42965681661887
BATGIRL,215,129,86,2020-05-07 00:00:00,1718.2535566091224,32.07604016417552,2.426318671572272,24.797084149458698,1736.6204721974973,30.736094410305803,1.305115286670409
BEHEMOTH,8,1,7,2019-04-16 00:00:00,1347.5363606432397,18.76043534518616,7.456891512801571,-3.610239193218554,1348.3917365969103,18.58979717248268,5.484109398077963
BLACKOUT,3,0,3,2019-05-21 00:00:00,1256.273206024878,15.482399919108246,7.978761061869035,-8.453883266498856,1000.0,7.689858039020311,6.216706599649188
BLITZEY,25,7,18,2019-05-30 00:00:00,1238.0648905243036,14.828384577323455,6.0007156729408475,-3.173762441499086,1268.6555922877783,16.095136626867955,3.659054504643598
BOLT,92,68,24,2020-05-15 00:00:00,2000.0,42.195949195031346,3.0548536247646716,33.031388320737335,2000.0,38.97630369336605,1.781463584708969
BROCOP,1,1,0,2020-07-12 00:00:00,1604.0942936356873,27.975610918586266,8.113047714622569,3.6364677747185574,1678.8768500876163,28.92950171527994,7.611815305536042
BROTHERGLACIUS,168,61,107,2023-11-14 00:00:00,1158.8817421873846,11.984244831308375,2.453960196305397,4.622364242392184,1231.5788004232127,14.935135593159728,1.4267386707316105
CHAOS,2,0,2,2020-05-20 00:00:00,1410.1576874775456,21.009699340598793,7.783258202138131,-2.3400752658155994,1347.686664815197,18.567737982501693,6.706605757593167
CHEESEDOG,2,1,1,2023-09-24 00:00:00,1528.2801719574352,25.252481549482802,7.879854599063075,1.6129177522935763,1579.3316241918942,25.815085415143855,6.639741716117647
CHICKYLEGS,111,50,61,2023-11-13 00:00:00,1000.0,6.2774513106904,2.513998488429726,-1.2645441545987781,1041.7185088991614,8.995081900474261,1.5694597909951191
CLONE,520,239,281,2023-11-14 00:00:00,1511.1958485428722,24.63883831506143,1.6054543282603777,19.822475330280298,1535.4619651934217,24.442559713013466,1.1153881791495923
COLONEL - COMMISSAR,2,0,2,2021-04-23 00:00:00,1281.4590206005303,16.38703654665922,7.745658433177508,-6.849938752873303,1179.856886942515,13.316940757907117,6.310944158389627
COOMERGANG,256,172,84,2020-07-12 00:00:00,1816.262439801005,35.59637202774977,2.077384048044443,29.364219883616443,1751.3785301874564,31.197821589572342,1.266745039226821
CRAZY IVAN,25,5,20,2020-06-22 00:00:00,1192.020347788077,13.174533766466855,5.639962687017358,-3.745354294585219,1273.9475413961422,16.260702905052348,3.2387935290708754
CRIMSONRABBIT,73,26,47,2020-06-27 00:00:00,1260.3048984437648,15.627212254726354,4.190561399102774,3.055528057418032,1343.3678107810877,18.43261639047448,2.200617778349861
CRONO,21,9,12,2023-11-02 00:00:00,1300.5552358369657,17.072943913228045,5.311921732991755,1.13717871425278,1380.471937085938,19.593472621663164,3.3396470098319715
CSHAFFER,3,0,3,2021-06-14 00:00:00,1259.4315300693024,15.595842174615967,7.60038240249014,-7.205305032854451,1179.797629390038,13.315086799711935,6.274912841413098
DANNY,1,0,1,2019-04-06 00:00:00,1466.751952282256,23.04248032125262,8.194307351250304,-1.5404417324982944,1426.3240357711845,21.028021815316826,7.649891545425285
DARSIN,49,25,24,2021-07-10 00:00:00,1522.9396055390448,25.060656425882673,4.682854252504526,11.012093668369097,1606.5326244138391,26.666108030331582,2.542523200371716
DEAN,11,2,9,2019-07-04 00:00:00,1183.5060228574143,12.868712004458256,6.806000588677361,-7.549289761573828,1122.4768525725785,11.521723430947604,4.8214624549915905
DERPRDEL,10,3,7,2020-04-26 00:00:00,1294.6340199538001,16.860262733055837,6.597483590278226,-2.9321880377788396,1287.7207081645913,16.691616338641666,4.587322049528502
DETROCT,33,8,25,2020-03-12 00:00:00,1166.6330173714844,12.26265899260941,5.516439565162976,-4.286659702879518,1230.4867793824085,14.900970136213207,3.338882039943999
DIRE,58,27,31,2023-11-13 00:00:00,1494.4288700693703,24.03659363423416,3.7884533049101736,12.671233719503638,1544.726889981749,24.732426278895073,2.1737301731419874
DRSOCKSMD,34,12,22,2023-01-10 00:00:00,1100.807238782241,9.898295903616578,4.109739904992796,-2.430923811361808,1180.768671337473,13.345467250828449,2.5847518322101797
DUNEDANE,24,12,12,2019-05-20 00:00:00,1389.9534856073371,20.283994758468918,5.859693022492603,2.7049156909911076,1414.0546347649718,20.644155867524574,3.241810502256912
EARTHSHAKER12,73,26,47,2022-03-29 00:00:00,1272.3158625792275,16.058628044614863,3.2867229828305735,6.198459096123143,1384.8630386931154,19.730854583458825,1.89058171556781
ERA,71,43,28,2021-12-02 00:00:00,1738.2271401135954,32.79346128102364,3.2705674483313456,22.9817589360296,1712.5566505513893,29.983222962138985,1.7645144150355274
FABULOUSRUG,63,30,33,2020-01-18 00:00:00,1563.6236787948274,26.521967225046865,4.364443606103645,13.42863640673593,1607.322236383267,26.690812182301105,2.2070304640118636
FANTIK,15,7,8,2022-04-25 00:00:00,1336.130267322164,18.3507456063645,5.172820227452711,2.8322849240063697,1355.737249637107,18.81961216701808,3.5383562636538475
FEG-E-LEIN,1,0,1,2021-01-26 00:00:00,1399.3566705715596,20.621743037712406,7.952397166509356,-3.235448461815661,1337.0409461689665,18.234671284624948,7.003779348058721
FLAKY,88,36,52,2023-11-11 00:00:00,1334.5024198576202,18.292275770653262,3.0010270903529155,9.289194499594515,1391.7606232742087,19.946655488601454,1.6680499495266294
FLEUR DE LYS,29,16,13,2021-09-18 00:00:00,1471.1692443709057,23.201142817793297,4.438792267333699,9.884766015792202,1460.2357264421112,22.088998082539753,2.86557204758944
FREUDENFEUER,1,0,1,2019-08-09 00:00:00,1423.8453962730166,21.501341280010394,8.012932790336714,-2.5374570909997516,1333.9004449123245,18.136416162731614,6.769774731601114
FREUDENFIRING,1,0,1,2019-08-17 00:00:00,1429.0340582441913,21.687710224044597,8.044407284051848,-2.445511628110946,1375.613902053082,19.441481972620807,7.323462516552832
FRIENDLY,68,26,42,2019-07-21 00:00:00,1183.7775414156226,12.878464543216825,4.026518013917099,0.798910501465528,1271.6321380318673,16.188262163528062,2.1197542185269667
FRISKY BANANA,1,0,1,2019-04-07 00:00:00,1463.7454400028137,22.934490916304224,8.173162979973453,-1.5849980236161336,1434.164562735241,21.273324036079206,7.695752435722168
FRYSTFRYSPIZZA,20,11,9,2019-05-31 00:00:00,1373.8884910173103,19.706964284275088,6.055440635651747,1.5406423773198483,1379.58040921867,19.565579883494543,3.4079956910911107
GARRY,95,54,41,2023-11-15 00:00:00,1680.3402804524035,30.714252234751978,2.441719332640401,23.389094236830775,1646.3221223859637,27.910979996250155,1.597345248393585
GENERICOMGCOMPANY,2,0,2,2019-06-24 00:00:00,1390.681807639827,20.310154991852016,7.753631614983995,-2.950739853099968,1344.6380075590737,18.47235633293927,6.67066356732553
GIANTENEMYDAVE,1,1,0,2020-05-05 00:00:00,1632.4917493792404,28.995604872631752,8.080797497293814,4.753212380750313,1789.8949012294747,32.40286193898106,7.248505532817821
GLACKO,214,71,143,2022-11-03 00:00:00,1152.6648181298085,11.760942257699218,2.3039278934873564,4.84915857723715,1261.1419607641326,15.86006180253663,1.318874412973877
GOBBO SLAYER,864,454,410,2023-11-14 00:00:00,1821.0695853815391,35.7690374761139,1.4447035644518345,31.434926782758396,1775.9899724069785,31.967826139048494,1.0953325026355993
GORKSTAR,802,354,448,2023-11-15 00:00:00,1523.0902428120633,25.066067090454883,1.4847173400304168,20.611915070363633,1502.2254397608526,23.402706966328118,1.104100524989015
GRANTOVICH,3,1,2,2019-03-29 00:00:00,1462.6123044588821,22.893790389666847,8.01707295672682,-1.1574284805136088,1516.4881720206547,23.848937164056895,7.530243314552101
GREJDER,1,1,0,2019-05-13 00:00:00,1547.4061082104963,25.93945645032442,8.235065324662129,1.2342604763380365,1594.355641262161,26.285133508722726,7.982387756829432
HAMSTERTHEFALLEN,45,23,22,2021-06-12 00:00:00,1578.112958216396,27.0424003772961,4.084074161578938,14.790177892559287,1563.8868801959675,25.331874271470014,2.236767243575048
HANS,8,6,2,2020-05-24 00:00:00,1648.1154728559916,29.556785551276963,6.750740100155598,9.304565250810167,1649.7838972829304,28.01928662843169,5.048501719010542
HOLOWEEN,639,339,300,2023-11-03 00:00:00,1689.502131125013,31.043332148752743,1.5006722946024555,26.541315264945375,1684.9573184513051,29.119737958293452,1.1002520018214157
HOUSIE123,763,381,382,2023-11-14 00:00:00,1558.0360102509248,26.32126656427431,1.4624334463280415,21.933966225290185,1553.6529730173975,25.011691690696065,1.0968984985226824
HOWIEROARK,3,1,2,2022-01-25 00:00:00,1405.2955143391289,20.835057385013275,7.21849376097933,-0.8204238979247158,1360.8642132510272,18.980016635496803,6.06260480117192
IBRAHIM BAYLANW0W,13,7,6,2019-05-21 00:00:00,1456.2618581411164,22.665691897037554,6.934066137661962,1.8634934840516664,1473.3870689594978,22.500456845491662,4.595146181337509
ICK312,531,232,299,2023-11-15 00:00:00,1343.8381516279553,18.627601232494815,1.5247749196443197,14.053276473561855,1360.5644846410664,18.970639192630216,1.1070792375886453
IJUSTDONTCARE,96,41,55,2022-02-07 00:00:00,1527.874352957611,25.237905140596197,3.067038507740016,16.03678961737615,1530.8868324431064,24.299420070859316,1.7688402958439802
ISLEY,1,1,0,2021-04-04 00:00:00,1562.3668768238476,26.4768247861112,8.190697172770466,1.9047332677998021,1628.0788436716887,27.34021264819891,7.752563468992382
JACKMCCRACK,13,8,5,2021-12-10 00:00:00,1546.7746618026877,25.916775843861465,5.779232702010055,8.579077737831302,1551.6456290371102,24.948889032347225,3.9622170875714975
JAMESUK,1175,620,555,2023-11-14 00:00:00,1728.7978965364055,32.4547770155454,1.4702492219115644,28.04402934981071,1702.9578971802368,29.68291208644295,1.1226730878626408
JAMMEME,7,2,5,2023-04-14 00:00:00,1406.3468999819197,20.872821577999485,6.504617585864246,1.3589688204067478,1413.579637041891,20.629294877075466,4.945616641533001
JEDIJAKE7505,7,3,4,2021-06-19 00:00:00,1269.4115808249826,15.954310606569488,7.308633626595886,-5.971590273218171,1163.3793482766632,12.80141713992056,5.36707269783554
